VM,Cores,MemGB
Standard_D1_v2,1,3.5
Basic_A4,8,14
Basic_A3,4,7
Basic_A2,2,3.5
Basic_A1,1,1.75
Basic_A0,1,0.75
Standard_A7,8,56
Standard_A6,4,28
Standard_A4,8,14
Standard_A5,2,14
Standard_A3,4,7
Standard_A2,2,3.5
Standard_A1,1,1.75
Standard_A0,1,0.75
Standard_D32s_v3,32,128
Standard_D16s_v3,16,64
Standard_D8s_v3,8,32
Standard_D4s_v3,4,16
Standard_D2s_v3,2,8
Standard_F16s,16,32
Standard_F8s,8,16
Standard_F4s,4,8
Standard_F2s,2,4
Standard_F1s,1,2
Standard_DS15_v2,20,140
Standard_DS14_v2,16,112
Standard_DS13_v2,8,56
Standard_DS12_v2,4,28
Standard_DS11_v2,2,14
Standard_DS5_v2,16,56
Standard_DS4_v2,8,28
Standard_DS3_v2,4,14
Standard_DS2_v2,2,7
Standard_DS1_v2,1,3.5
Standard_B20ms,20,80
Standard_B16ms,16,64
Standard_B12ms,12,48
Standard_B8ms,8,32
Standard_B4ms,4,16
Standard_B2s,2,4
Standard_B2ms,2,8
Standard_B1s,1,1
Standard_B1ms,1,2
Standard_B1ls,1,0.5
standard_d3_v2_promo,4,14
standard_d12_v2_promo,4,28
standard_ds11-1_v2,1,14
standard_ds12-1_v2,1,28
Standard_DS12-2_v2,2,28
standard_m208-52s_v2,52,2850
standard_ds13-2_v2,2,56
standard_ds13-4_v2,4,56
standard_ds14-8_v2,8,16
standard_ds14-4_v2,4,28
standard_e32-8s_v3,8,256
standard_m64,64,1024
standard_m64m,64,1792
standard_nc6,6,56
standard_nc12,12,112
standard_nc24,24,224
standard_nc24r,24,224
standard_m128,128,2048
standard_e16-4s_v3,4,128
Standard_NC24s_v3,24,448
